url,src
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00422-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00372-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00357-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00351-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00335-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00310-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00228-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00202-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00172-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00170-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00167-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00095-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/DSC00038-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07715-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07700-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07464-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07456-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07433-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07429-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07413-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07351-scaled.jpg
https://sunway.edu.np,https://sunway.edu.np/wp-content/uploads/2025/02/Data_li_month-07342-scaled.jpg
